,score
efn-4 / sax-3,0.0
mab-20 / sax-3,0.0
emb-9 / ddr-2,0.05
mec-1 / mec-4,0.0
mec-5 / mec-4,0.75
mec-9 / mec-4,0.0
mec-1 / mec-10,0.02
mec-5 / mec-10,0.75
mec-9 / mec-10,0.0
shn-1 / ced-1,0.0
col-119 / daf-4,0.24
col-19 / daf-4,0.23
