,Symbol,Name,EntrezGene.ID,Ensembl.Gene.ID,HomoloGene.ID,HGNC.ID
apx-1,apx-1,apx-1,apx-1,apx-1,apx-1,apx-1
aqp-1,aqp-1,aqp-1,aqp-1,aqp-1,aqp-1,aqp-1
aqp-2,aqp-2,aqp-2,aqp-2,aqp-2,aqp-2,aqp-2
aqp-3,aqp-3,aqp-3,aqp-3,aqp-3,aqp-3,aqp-3
aqp-4,aqp-4,aqp-4,aqp-4,aqp-4,aqp-4,aqp-4
aqp-5,aqp-5,aqp-5,aqp-5,aqp-5,aqp-5,aqp-5
aqp-6,aqp-6,aqp-6,aqp-6,aqp-6,aqp-6,aqp-6
aqp-7,aqp-7,aqp-7,aqp-7,aqp-7,aqp-7,aqp-7
aqp-8,aqp-8,aqp-8,aqp-8,aqp-8,aqp-8,aqp-8
aqp-9,aqp-9,aqp-9,aqp-9,aqp-9,aqp-9,aqp-9
aqp-10,aqp-10,aqp-10,aqp-10,aqp-10,aqp-10,aqp-10
aqp-11,aqp-11,aqp-11,aqp-11,aqp-11,aqp-11,aqp-11
arc-1,arc-1,arc-1,arc-1,arc-1,arc-1,arc-1
ard-1,ard-1,ard-1,ard-1,ard-1,ard-1,ard-1
arf-1.2,arf-1.2,arf-1.2,arf-1.2,arf-1.2,arf-1.2,arf-1.2
arf-3,arf-3,arf-3,arf-3,arf-3,arf-3,arf-3
arf-6,arf-6,arf-6,arf-6,arf-6,arf-6,arf-6
arg-1,arg-1,arg-1,arg-1,arg-1,arg-1,arg-1
ark-1,ark-1,ark-1,ark-1,ark-1,ark-1,ark-1
arl-1,arl-1,arl-1,arl-1,arl-1,arl-1,arl-1
arl-3,arl-3,arl-3,arl-3,arl-3,arl-3,arl-3
arl-5,arl-5,arl-5,arl-5,arl-5,arl-5,arl-5
arf-1.1,arf-1.1,arf-1.1,arf-1.1,arf-1.1,arf-1.1,arf-1.1
arl-8,arl-8,arl-8,arl-8,arl-8,arl-8,arl-8
arl-6,arl-6,arl-6,arl-6,arl-6,arl-6,arl-6
arr-1,arr-1,arr-1,arr-1,arr-1,arr-1,arr-1
aars-1,aars-1,aars-1,aars-1,aars-1,aars-1,aars-1
aars-2,aars-2,aars-2,aars-2,aars-2,aars-2,aars-2
art-1,art-1,art-1,art-1,art-1,art-1,art-1
arx-1,arx-1,arx-1,arx-1,arx-1,arx-1,arx-1
arx-2,arx-2,arx-2,arx-2,arx-2,arx-2,arx-2
arx-3,arx-3,arx-3,arx-3,arx-3,arx-3,arx-3
exos-4.2,exos-4.2,exos-4.2,exos-4.2,exos-4.2,exos-4.2,exos-4.2
arx-5,arx-5,arx-5,arx-5,arx-5,arx-5,arx-5
arx-6,arx-6,arx-6,arx-6,arx-6,arx-6,arx-6
arx-7,arx-7,arx-7,arx-7,arx-7,arx-7,arx-7
asb-1,asb-1,asb-1,asb-1,asb-1,asb-1,asb-1
asb-2,asb-2,asb-2,asb-2,asb-2,asb-2,asb-2
asc-1,asc-1,asc-1,asc-1,asc-1,asc-1,asc-1
asg-1,asg-1,asg-1,asg-1,asg-1,asg-1,asg-1
asg-2,asg-2,asg-2,asg-2,asg-2,asg-2,asg-2
asm-1,asm-1,asm-1,asm-1,asm-1,asm-1,asm-1
asm-2,asm-2,asm-2,asm-2,asm-2,asm-2,asm-2
asm-3,asm-3,asm-3,asm-3,asm-3,asm-3,asm-3
asp-1,asp-1,asp-1,asp-1,asp-1,asp-1,asp-1
asp-2,asp-2,asp-2,asp-2,asp-2,asp-2,asp-2
asp-3,asp-3,asp-3,asp-3,asp-3,asp-3,asp-3
asp-4,asp-4,asp-4,asp-4,asp-4,asp-4,asp-4
asp-5,asp-5,asp-5,asp-5,asp-5,asp-5,asp-5
asp-6,asp-6,asp-6,asp-6,asp-6,asp-6,asp-6
atf-2,atf-2,atf-2,atf-2,atf-2,atf-2,atf-2
atf-5,atf-5,atf-5,atf-5,atf-5,atf-5,atf-5
atf-6,atf-6,atf-6,atf-6,atf-6,atf-6,atf-6
atf-7,atf-7,atf-7,atf-7,atf-7,atf-7,atf-7
atgp-1,atgp-1,atgp-1,atgp-1,atgp-1,atgp-1,atgp-1
atgp-2,atgp-2,atgp-2,atgp-2,atgp-2,atgp-2,atgp-2
atl-1,atl-1,atl-1,atl-1,atl-1,atl-1,atl-1
atm-1,atm-1,atm-1,atm-1,atm-1,atm-1,atm-1
atn-1,atn-1,atn-1,atn-1,atn-1,atn-1,atn-1
atp-2,atp-2,atp-2,atp-2,atp-2,atp-2,atp-2
atp-3,atp-3,atp-3,atp-3,atp-3,atp-3,atp-3
atx-2,atx-2,atx-2,atx-2,atx-2,atx-2,atx-2
avr-14,avr-14,avr-14,avr-14,avr-14,avr-14,avr-14
avr-15,avr-15,avr-15,avr-15,avr-15,avr-15,avr-15
baf-1,baf-1,baf-1,baf-1,baf-1,baf-1,baf-1
bag-1,bag-1,bag-1,bag-1,bag-1,bag-1,bag-1
bam-2,bam-2,bam-2,bam-2,bam-2,bam-2,bam-2
bar-1,bar-1,bar-1,bar-1,bar-1,bar-1,bar-1
bas-1,bas-1,bas-1,bas-1,bas-1,bas-1,bas-1
pah-1,pah-1,pah-1,pah-1,pah-1,pah-1,pah-1
bbs-1,bbs-1,bbs-1,bbs-1,bbs-1,bbs-1,bbs-1
bbs-2,bbs-2,bbs-2,bbs-2,bbs-2,bbs-2,bbs-2
bbs-8,bbs-8,bbs-8,bbs-8,bbs-8,bbs-8,bbs-8
bca-1,bca-1,bca-1,bca-1,bca-1,bca-1,bca-1
bcc-1,bcc-1,bcc-1,bcc-1,bcc-1,bcc-1,bcc-1
bec-1,bec-1,bec-1,bec-1,bec-1,bec-1,bec-1
ben-1,ben-1,ben-1,ben-1,ben-1,ben-1,ben-1
bir-1,bir-1,bir-1,bir-1,bir-1,bir-1,bir-1
bir-2,bir-2,bir-2,bir-2,bir-2,bir-2,bir-2
bli-1,bli-1,bli-1,bli-1,bli-1,bli-1,bli-1
bli-2,bli-2,bli-2,bli-2,bli-2,bli-2,bli-2
bli-3,bli-3,bli-3,bli-3,bli-3,bli-3,bli-3
bli-4,bli-4,bli-4,bli-4,bli-4,bli-4,bli-4
bli-5,bli-5,bli-5,bli-5,bli-5,bli-5,bli-5
bli-6,bli-6,bli-6,bli-6,bli-6,bli-6,bli-6
bmk-1,bmk-1,bmk-1,bmk-1,bmk-1,bmk-1,bmk-1
bpl-1,bpl-1,bpl-1,bpl-1,bpl-1,bpl-1,bpl-1
bra-1,bra-1,bra-1,bra-1,bra-1,bra-1,bra-1
F23H11.5,F23H11.5,F23H11.5,F23H11.5,F23H11.5,F23H11.5,F23H11.5
brc-1,brc-1,brc-1,brc-1,brc-1,brc-1,brc-1
brd-1,brd-1,brd-1,brd-1,brd-1,brd-1,brd-1
bre-1,bre-1,bre-1,bre-1,bre-1,bre-1,bre-1
bre-2,bre-2,bre-2,bre-2,bre-2,bre-2,bre-2
bre-3,bre-3,bre-3,bre-3,bre-3,bre-3,bre-3
bre-4,bre-4,bre-4,bre-4,bre-4,bre-4,bre-4
bre-5,bre-5,bre-5,bre-5,bre-5,bre-5,bre-5
brf-1,brf-1,brf-1,brf-1,brf-1,brf-1,brf-1
bro-1,bro-1,bro-1,bro-1,bro-1,bro-1,bro-1
brp-1,brp-1,brp-1,brp-1,brp-1,brp-1,brp-1
btf-1,btf-1,btf-1,btf-1,btf-1,btf-1,btf-1
bub-1,bub-1,bub-1,bub-1,bub-1,bub-1,bub-1
byn-1,byn-1,byn-1,byn-1,byn-1,byn-1,byn-1
cab-1,cab-1,cab-1,cab-1,cab-1,cab-1,cab-1
cah-1,cah-1,cah-1,cah-1,cah-1,cah-1,cah-1
cah-2,cah-2,cah-2,cah-2,cah-2,cah-2,cah-2
cah-3,cah-3,cah-3,cah-3,cah-3,cah-3,cah-3
cah-4,cah-4,cah-4,cah-4,cah-4,cah-4,cah-4
cah-5,cah-5,cah-5,cah-5,cah-5,cah-5,cah-5
cah-6,cah-6,cah-6,cah-6,cah-6,cah-6,cah-6
cal-1,cal-1,cal-1,cal-1,cal-1,cal-1,cal-1
cal-2,cal-2,cal-2,cal-2,cal-2,cal-2,cal-2
cal-3,cal-3,cal-3,cal-3,cal-3,cal-3,cal-3
cal-4,cal-4,cal-4,cal-4,cal-4,cal-4,cal-4
cam-1,cam-1,cam-1,cam-1,cam-1,cam-1,cam-1
cap-1,cap-1,cap-1,cap-1,cap-1,cap-1,cap-1
cap-2,cap-2,cap-2,cap-2,cap-2,cap-2,cap-2
cas-1,cas-1,cas-1,cas-1,cas-1,cas-1,cas-1
cat-1,cat-1,cat-1,cat-1,cat-1,cat-1,cat-1
cat-2,cat-2,cat-2,cat-2,cat-2,cat-2,cat-2
cat-4,cat-4,cat-4,cat-4,cat-4,cat-4,cat-4
cav-1,cav-1,cav-1,cav-1,cav-1,cav-1,cav-1
cav-2,cav-2,cav-2,cav-2,cav-2,cav-2,cav-2
cbp-1,cbp-1,cbp-1,cbp-1,cbp-1,cbp-1,cbp-1
cca-1,cca-1,cca-1,cca-1,cca-1,cca-1,cca-1
ccb-1,ccb-1,ccb-1,ccb-1,ccb-1,ccb-1,ccb-1
ccf-1,ccf-1,ccf-1,ccf-1,ccf-1,ccf-1,ccf-1
ccg-1,ccg-1,ccg-1,ccg-1,ccg-1,ccg-1,ccg-1
cco-1,cco-1,cco-1,cco-1,cco-1,cco-1,cco-1
cyp-13A7,cyp-13A7,cyp-13A7,cyp-13A7,cyp-13A7,cyp-13A7,cyp-13A7
cyp-14A5,cyp-14A5,cyp-14A5,cyp-14A5,cyp-14A5,cyp-14A5,cyp-14A5
