Distances,Labe1,Color
3.6438729396079204,0,red
3.7511338285936686,0,red
3.8249783005920404,0,red
3.8332243607701524,0,red
3.8846066724963015,0,red
3.891144047705382,0,red
3.900431386399526,0,red
3.937775133245182,0,red
3.9789235981611695,0,red
4.054460383331344,0,red
4.0645337986045265,0,red
4.1300467309726026,0,red
4.206890062741885,0,red
4.450569177082802,0,red
4.472613665408477,0,red
4.473410108630634,0,red
4.48749830083526,0,red
4.558142604176417,0,red
4.587329724360026,0,red
4.691156147475556,0,red
4.712821023548123,0,red
4.7545512932347895,0,red
4.857611861809892,0,red
4.874073245244116,0,red
4.978441322341254,0,red
5.067162618270561,0,red
5.458439428993891,0,red
5.553105527541767,0,red
5.686943906879926,0,red
5.892387122381295,0,red
6.236640842633078,0,red
6.2826503961312214,0,red
6.49768720392114,0,red
6.565824852979285,0,red
6.715296717197201,0,red
7.42164927761997,2,orange
7.422089059019252,2,orange
7.486220541768663,2,orange
7.729907761415848,2,orange
8.597656308553152,2,orange
8.628780852472396,2,orange
8.664513835178843,2,orange
8.925154004273544,2,orange
9.320836014006455,2,orange
9.433066839580816,2,orange
9.677391590713228,2,orange
9.992500688016008,2,orange
10.205636971791636,2,orange
10.247620455500822,2,orange
11.193877076330601,2,orange
11.943385156646311,2,orange
12.57618201204171,2,orange
13.175827146710805,2,orange
13.312555952933938,2,orange
14.159550663774542,2,orange
15.126697127925825,2,orange
15.517826200856808,2,orange
15.520122357765022,2,orange
16.423262343395646,2,orange
17.003382281181484,2,orange
18.451557251354103,2,orange
19.02081777947517,2,orange
19.81503938931237,2,orange
21.41749158981973,2,orange
22.12252209853115,2,orange
26.237184509775396,2,orange
31.054945000756295,2,orange
35.1191462026058,2,orange
35.564530827778306,2,orange
37.8107370068344,2,orange
37.84122431951695,2,orange
38.441461470656925,2,orange
39.40506911553392,2,orange
40.04012111620042,2,orange
41.23019573079904,2,orange
41.86107448453747,2,orange
42.61702436820299,2,orange
44.727887799447885,2,orange
45.09139326966941,2,orange
47.09789656661956,2,orange
47.92814994343094,2,orange
48.06873989403096,2,orange
48.282630686407266,2,orange
49.35440147545098,2,orange
50.103622563643036,2,orange
50.5027649342092,2,orange
50.57063691511112,2,orange
50.62162061807191,2,orange
50.78711509822147,2,orange
50.888798905063645,2,orange
51.61799800457195,2,orange
52.773198500754155,2,orange
52.9129248104846,2,orange
53.06992763326504,2,orange
53.1521061859264,2,orange
53.18340471425268,2,orange
53.83581494692911,2,orange
53.91497650004125,2,orange
54.119024473839175,2,orange
55.42720347446727,2,orange
55.91890060614562,2,orange
56.31626565211866,2,orange
57.260614299883265,2,orange
58.75687215977379,2,orange
59.39361185346453,2,orange
62.078531860861546,2,orange
62.994967354543455,2,orange
65.05631498939975,2,orange
68.47521274884801,2,orange
100.1452490335912,1,blue
102.60376919977162,1,blue
102.68105533641535,1,blue
103.51972868009268,1,blue
104.99101249630846,1,blue
105.12885269515685,1,blue
105.33517423444076,1,blue
106.07282541254376,1,blue
107.50713260058605,1,blue
107.90327893535023,1,blue
108.74036768836123,1,blue
110.14549665782981,1,blue
111.65996250223263,1,blue
114.16475672465648,1,blue
114.75597888563368,1,blue
115.07380729775132,1,blue
116.45962531710292,1,blue
117.27034503658628,1,blue
120.08686035116412,1,blue
126.31837179919634,1,blue
