Ligand,Receptor,score
WBGene00006725,WBGene00003174,1.0
WBGene00000552,WBGene00000068,1.0
WBGene00001745,WBGene00000068,1.0
WBGene00004310,WBGene00000068,1.0
WBGene00001666,WBGene00000068,1.0
WBGene00001678,WBGene00000068,1.0
WBGene00006728,WBGene00003412,1.0
WBGene00006727,WBGene00003412,1.0
WBGene00006725,WBGene00003412,1.0
WBGene00013597,WBGene00009164,1.0
WBGene00000857,WBGene00000478,1.0
WBGene00003395,WBGene00000478,1.0
WBGene00022242,WBGene00000478,1.0
WBGene00000858,WBGene00000478,1.0
WBGene00003029,WBGene00000478,1.0
WBGene00001188,WBGene00000478,1.0
WBGene00000903,WBGene00000897,1.0
WBGene00000936,WBGene00000897,1.0
WBGene00000915,WBGene00000897,1.0
WBGene00006570,WBGene00000897,1.0
WBGene00017184,WBGene00000674,1.0
WBGene00002232,WBGene00000674,1.0
WBGene00007606,WBGene00003071,1.0
WBGene00016354,WBGene00006942,1.0
WBGene00006728,WBGene00006612,1.0
WBGene00006727,WBGene00006612,1.0
WBGene00006725,WBGene00006612,1.0
WBGene00003774,WBGene00003233,1.0
WBGene00006324,WBGene00003929,1.0
WBGene00004732,WBGene00003929,1.0
WBGene00006620,WBGene00003929,1.0
WBGene00006787,WBGene00003929,1.0
WBGene00002248,WBGene00002081,1.0
WBGene00006987,WBGene00002081,1.0
WBGene00006620,WBGene00002081,1.0
WBGene00016913,WBGene00002081,1.0
WBGene00002280,WBGene00002081,1.0
WBGene00003929,WBGene00002081,1.0
WBGene00006728,WBGene00004768,1.0
WBGene00006727,WBGene00004768,1.0
WBGene00006725,WBGene00004768,1.0
WBGene00002881,WBGene00000548,1.0
WBGene00006787,WBGene00001403,1.0
WBGene00003242,WBGene00001403,1.0
WBGene00004732,WBGene00001184,1.0
WBGene00006727,WBGene00001184,1.0
WBGene00001185,WBGene00001184,1.0
WBGene00006725,WBGene00001184,1.0
WBGene00002243,WBGene00001184,1.0
WBGene00006787,WBGene00001184,1.0
WBGene00002280,WBGene00001184,1.0
WBGene00002881,WBGene00001184,1.0
WBGene00002335,WBGene00001184,1.0
WBGene00002181,WBGene00001184,1.0
WBGene00004854,WBGene00001687,1.0
WBGene00006770,WBGene00004214,1.0
WBGene00006727,WBGene00004214,1.0
WBGene00006725,WBGene00004214,1.0
WBGene00007750,WBGene00006365,1.0
WBGene00004889,WBGene00004048,1.0
WBGene00004890,WBGene00004048,1.0
WBGene00004854,WBGene00004048,1.0
WBGene00022214,WBGene00000553,1.0
WBGene00003774,WBGene00000553,1.0
WBGene00001612,WBGene00000553,1.0
WBGene00000915,WBGene00000553,1.0
WBGene00006324,WBGene00003497,1.0
WBGene00003963,WBGene00003497,1.0
WBGene00006324,WBGene00003482,1.0
WBGene00003963,WBGene00003482,1.0
WBGene00001679,WBGene00001053,1.0
WBGene00001676,WBGene00001053,1.0
WBGene00001666,WBGene00001053,1.0
WBGene00001678,WBGene00001053,1.0
WBGene00022214,WBGene00006779,1.0
WBGene00003929,WBGene00000042,1.0
WBGene00003929,WBGene00000043,1.0
WBGene00018008,WBGene00006868,1.0
WBGene00006869,WBGene00006868,1.0
WBGene00017184,WBGene00000708,1.0
WBGene00003929,WBGene00000051,1.0
WBGene00022214,WBGene00019875,1.0
WBGene00006324,WBGene00003001,1.0
WBGene00003891,WBGene00003001,1.0
WBGene00004769,WBGene00003001,1.0
WBGene00000552,WBGene00000071,1.0
WBGene00001745,WBGene00000071,1.0
WBGene00001666,WBGene00000071,1.0
WBGene00001678,WBGene00000071,1.0
WBGene00006728,WBGene00003168,1.0
WBGene00006727,WBGene00003168,1.0
